gene_symbol	score	rank	method	disease
KPNA2	0.000532726899693756	219	rwr	BC
AMOT	0.000532621983431573	220	rwr	BC
FGF2	0.000532563326671173	221	rwr	BC
DDX39B	0.000531129299579325	222	rwr	BC
SUMO1	0.000529937177674868	223	rwr	BC
CHD3	0.000528720178120638	224	rwr	BC
KAT5	0.0005263034245011	225	rwr	BC
GSK3B	0.000524635859170398	226	rwr	BC
CCT2	0.000522145046062306	227	rwr	BC
AGO2	0.000520063389680184	228	rwr	BC
DDB1	0.000518770124246765	229	rwr	BC
RNF20	0.000518243570027171	230	rwr	BC
COPS6	0.000518046612787154	231	rwr	BC
DHX9	0.000515847582630316	232	rwr	BC
CBX3	0.000515547318569996	233	rwr	BC
RPS6KA3	0.000514979815954196	234	rwr	BC
CHUK	0.000514625809045253	235	rwr	BC
SOX2	0.00051350944503564	236	rwr	BC
HNRNPU	0.000513383889665807	237	rwr	BC
AURKA	0.000512394693398842	238	rwr	BC
PIAS1	0.000509607048550398	239	rwr	BC
ACTG1	0.000508106050429711	240	rwr	BC
CCNB1	0.000507445633123928	241	rwr	BC
RECQL4	0.000503722376328713	242	rwr	BC
LCK	0.000503086179503686	243	rwr	BC
BTRC	0.000502471700342255	244	rwr	BC
NTRK1	0.000500500970533332	245	rwr	BC
TERF2IP	0.000499950040123924	246	rwr	BC
EWSR1	0.000493824533024513	247	rwr	BC
NUDT21	0.000493716689043901	248	rwr	BC
CFLAR	0.000490959495391434	249	rwr	BC
FADD	0.000488161145890033	250	rwr	BC
CUL1	0.000485749373819645	251	rwr	BC
PPP2R1A	0.000485593171034159	252	rwr	BC
FBXW7	0.000484754290440112	253	rwr	BC
PXN	0.000483394060128227	254	rwr	BC
JOSD2	0.000483097386339314	255	rwr	BC
FGF1	0.00048267906360811	256	rwr	BC
TNFAIP3	0.000482403188632115	257	rwr	BC
BIRC3	0.000480421410102444	258	rwr	BC
MAP1LC3B	0.000478367459675639	259	rwr	BC
IQGAP1	0.000472477730402518	260	rwr	BC
PPIA	0.000471039977547744	261	rwr	BC
ATAD3B	0.000470920590935417	262	rwr	BC
FYN	0.00047011987726951	263	rwr	BC
HSPA4	0.000469680725014154	264	rwr	BC
XPO1	0.000469538744376957	265	rwr	BC
SPIDR	0.00046920162051443	266	rwr	BC
AURKB	0.00046918626535475	267	rwr	BC
TRAF1	0.00046818986293482	268	rwr	BC
WDR5	0.000464847737035699	269	rwr	BC
JUN	0.000464485947282044	270	rwr	BC
RBM39	0.000463226557423737	271	rwr	BC
RPS3	0.000459976080516297	272	rwr	BC
UBE2D2	0.000459208946728194	273	rwr	BC
BCL2	0.000458253508937809	274	rwr	BC
VHL	0.000457249378911813	275	rwr	BC
FZR1	0.000455200038543031	276	rwr	BC
PCM1	0.000454832105531771	277	rwr	BC
PIN1	0.000454221422707569	278	rwr	BC
PAXIP1	0.000452789892263711	279	rwr	BC
COPS4	0.000452414047618635	280	rwr	BC
CTSB	0.000451394923740058	281	rwr	BC
NFE2L2	0.000451361842125832	282	rwr	BC
CASP3	0.000449791673598297	283	rwr	BC
WWP2	0.00044941357103891	284	rwr	BC
TNIP2	0.000448752524371179	285	rwr	BC
FUS	0.000448014353265313	286	rwr	BC
IRS2	0.000447183201289516	287	rwr	BC
FGF7	0.000445355287756828	288	rwr	BC
ILF3	0.000444895972647312	289	rwr	BC
UBB	0.000444472790953496	290	rwr	BC
COPS3	0.000444395375502576	291	rwr	BC
SKP1	0.000440591434589974	292	rwr	BC
LARP7	0.000440469004341203	293	rwr	BC
DYNC1H1	0.000439164602726668	294	rwr	BC
PIP4K2A	0.000436836203403853	295	rwr	BC
CDC27	0.00043664146740108	296	rwr	BC
CYLD	0.0004362854578498	297	rwr	BC
CUL4B	0.000435397273404355	298	rwr	BC
CTCF	0.000434122366457356	299	rwr	BC
PSMA1	0.000433633453374634	300	rwr	BC
CARNMT1	0.00043359494696168	301	rwr	BC
CSNK2A2	0.000432796306517686	302	rwr	BC
SUMO2	0.000430617555019153	303	rwr	BC
SMC1A	0.000430028082089952	304	rwr	BC
SNCA	0.000429200380311539	305	rwr	BC
ELAVL1	0.000427090792607315	306	rwr	BC
TUBB	0.000426727708331769	307	rwr	BC
HNRNPA1	0.000426714620201937	308	rwr	BC
COPS2	0.000425425557576642	309	rwr	BC
SRPK2	0.000424501963610992	310	rwr	BC
ANXA2	0.000422841258165025	311	rwr	BC
ZRANB1	0.000421843971123676	312	rwr	BC
NFKB1	0.000420328373218296	313	rwr	BC
CSF1R	0.000420265245389294	314	rwr	BC
PRMT1	0.000419757958202618	315	rwr	BC
SPOP	0.000419192666460842	316	rwr	BC
RUVBL1	0.000418673002917666	317	rwr	BC
MSH3	0.000417835622469013	318	rwr	BC
TNF	0.000414076373654549	319	rwr	BC
COMMD1	0.00041402306145291	320	rwr	BC
EPHA2	0.000413052777905203	321	rwr	BC
UBE2E1	0.000412208627088908	322	rwr	BC
NAT2	0.000411084024355919	323	rwr	BC
DGKZ	0.000410098020490021	324	rwr	BC
RBBP4	0.000409702567115583	325	rwr	BC
XRCC4	0.000409648221034153	326	rwr	BC
RPS6	0.000409560482546564	327	rwr	BC
PCBP1	0.000408671927164625	328	rwr	BC
CTNNA1	0.000408453878570051	329	rwr	BC
YBX1	0.000407754833182882	330	rwr	BC
GPS1	0.000407672193896422	331	rwr	BC
CBX5	0.000401378842812131	332	rwr	BC
RPL6	0.000398926685026742	333	rwr	BC
CALM1	0.000398020955112272	334	rwr	BC
DDB2	0.000396897367801077	335	rwr	BC
FHL3	0.000396760360766456	336	rwr	BC
SMARCB1	0.000396082269979211	337	rwr	BC
RANBP9	0.000395321265780445	338	rwr	BC
MEN1	0.000394384297046954	339	rwr	BC
TULP2	0.000393410127269759	340	rwr	BC
NONO	0.000391434906076675	341	rwr	BC
CDKN2A	0.000391382543355464	342	rwr	BC
ADAP1	0.000391348973123649	343	rwr	BC
TRIM21	0.00039105300639221	344	rwr	BC
STIP1	0.000390917053721364	345	rwr	BC
LAMP1	0.000390808836533565	346	rwr	BC
POMK	0.000390453107755669	347	rwr	BC
PRKAA1	0.000389041420423992	348	rwr	BC
MAPK14	0.000388620725880185	349	rwr	BC
UIMC1	0.000388505683652605	350	rwr	BC
BUB1B	0.000386530501837358	351	rwr	BC
RASD2	0.000385572045172725	352	rwr	BC
CSNK2B	0.000385516025765782	353	rwr	BC
CCT3	0.00038469621364168	354	rwr	BC
VIM	0.000383797366826939	355	rwr	BC
BCAP31	0.000382211325921049	356	rwr	BC
TNFRSF10B	0.000381139221764286	357	rwr	BC
CCDC120	0.000378811606576381	358	rwr	BC
CTBP1	0.000378632626811058	359	rwr	BC
CAB39	0.000378547277692456	360	rwr	BC
UBE2E3	0.000378069863472608	361	rwr	BC
CTNND1	0.000377502363563334	362	rwr	BC
SMURF2	0.000377166711016544	363	rwr	BC
PPP1CC	0.000375832302499397	364	rwr	BC
RBBP7	0.000375032027596631	365	rwr	BC
