gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
CAVIN2	0.32940204682335794	0.3709259104505273	9.96962317660596e-07	8926	0.9462365527300982	False
PF4	0.32940204682335605	0.37092591045052803	8.18933332364061e-07	9069	0.9462365527300982	False
BNIP3	0.32918660504413183	0.371007323436699	3.55900002610245e-05	3228	0.9462365527300982	False
DLGAP1	0.3287116398994702	0.37118682772851985	2.45720498383935e-05	4074	0.9462365527300982	False
KCTD6	0.3285278335053149	0.37125630147952415	2.27410302866867e-05	4246	0.9462365527300982	False
CETN2	0.3281207013810935	0.3714102011362953	5.98362155085808e-05	2182	0.9462365527300982	False
GPR88	0.32782457692989697	0.3715221517972127	1.1488458346692e-06	8816	0.9462365527300982	False
TTC9C	0.3271400003064523	0.3717809994573619	2.0537142795815e-05	4503	0.9462365527300982	False
FGFRL1	0.3269842074509797	0.37183991494071267	1.31509297671589e-05	5517	0.9462365527300982	False
ANAPC10	0.32685119676700447	0.37189021736788164	5.58556087220269e-05	2297	0.9462365527300982	False
PPP1R15B	0.325885639889145	0.3722554404205891	2.65859376063329e-05	3871	0.9462365527300982	False
FAM221A	0.3257652526833044	0.3723009850913356	7.66253275090791e-06	6615	0.9462365527300982	False
PKD1	0.3248555882923365	0.37264518538311464	1.83215753729459e-05	4775	0.9462365527300982	False
EPCIP	0.3248555882923064	0.3726451853831261	9.13242619391437e-07	8976	0.9462365527300982	False
PACS1	0.3242694215245447	0.37286703403030663	5.86507992866955e-06	7087	0.9462365527300982	False
STK32A	0.3225970302119974	0.3735002215649445	4.90298301501219e-06	7350	0.9462365527300982	False
DDHD1	0.3222987010364282	0.37361320855087465	8.9441250817694e-06	6325	0.9462365527300982	False
SLC20A2	0.32196021751335957	0.3737414164531893	1.39802272556281e-05	5383	0.9462365527300982	False
TMEM59L	0.3219495046969429	0.3737454743906143	5.48842517833161e-06	7193	0.9462365527300982	False
GAPDH	0.32160057696699534	0.3738776533420344	0.0003728596773179	369	0.9462365527300982	False
PAPSS2	0.3214026460628213	0.373952639071617	8.56089384159774e-06	6403	0.9462365527300982	False
LTA	0.3211367818109134	0.3740533687217822	1.05711443189238e-05	5975	0.9462365527300982	False
F12	0.32063881136964584	0.3742420610298723	1.02816770474778e-05	6038	0.9462365527300982	False
MCM4	0.3203545954860319	0.3743497703909298	0.0001801915250587	849	0.9462365527300982	False
TROAP	0.3202327455207768	0.3743959509053575	5.25947667127656e-05	2396	0.9462365527300982	False
YEATS4	0.3196427614810068	0.3746195773173719	0.0001778823319583	860	0.9462365527300982	False
GINS2	0.31791313631602686	0.37527541390968755	1.72321371019198e-05	4922	0.9462365527300982	False
PSG8	0.316945431516326	0.37564250419922873	3.27573486071413e-05	3408	0.9462365527300982	False
PSG4	0.31694543151630544	0.37564250419923656	1.27389689223989e-06	8764	0.9462365527300982	False
NCR1	0.31545378896364745	0.37620856611424375	4.2842240011969e-06	7545	0.9462365527300982	False
SPART	0.3150408270029702	0.3763653277662349	6.25126483330847e-06	6970	0.9462365527300982	False
DNMT3A	0.3148525115193485	0.3764368196853527	0.00012521028539	1173	0.9462365527300982	False
SATB1	0.31483670544672415	0.3764428204812654	0.0001165394457091	1274	0.9462365527300982	False
GALNT18	0.31434947810835245	0.3766278116114997	6.2924361197034e-06	6961	0.9462365527300982	False
NHERF1	0.3142516880113081	0.37666494410243784	7.05282357677413e-06	6759	0.9462365527300982	False
PDCD10	0.3142095274210289	0.3766809535166006	4.85276712315523e-05	2547	0.9462365527300982	False
TIFA	0.3136207201272206	0.3769045602951251	2.4936655067887e-05	4040	0.9462365527300982	False
DKK3	0.31316838152889714	0.3770763694674345	3.57874379127752e-05	3215	0.9462365527300982	False
SIGLEC8	0.31283501427039073	0.37720300601986656	3.87934795220627e-07	9412	0.9462365527300982	False
CD300LD	0.31283501427039073	0.37720300601986656	3.87934795220627e-07	9411	0.9462365527300982	False
TFF1	0.31283501427038896	0.3772030060198672	2.7709658153373e-06	8094	0.9462365527300982	False
SLC2A4	0.3126541144989631	0.3772717301250117	1.74853155291015e-05	4885	0.9462365527300982	False
DDIT4L	0.3121513169351739	0.3774627641130981	4.41332410188048e-06	7509	0.9462365527300982	False
INTS5	0.31192479947501656	0.3775488374440767	5.83795855791679e-05	2228	0.9462365527300982	False
DNAJB8	0.3110720227175885	0.3778729346885404	2.06387053481267e-05	4491	0.9462365527300982	False
ZNF280D	0.310875959815176	0.3779474604302602	1.00594171269784e-05	6082	0.9462365527300982	False
CELF5	0.3105911373656543	0.378055732778587	8.04780081816268e-06	6518	0.9462365527300982	False
ADCY3	0.310568846605496	0.3780642067878982	8.72294481542173e-06	6365	0.9462365527300982	False
GSTCD	0.3103329915061719	0.3781538725684599	1.80812435452017e-05	4806	0.9462365527300982	False
UNC119	0.3089045723608677	0.37869705928063246	6.9590623079557e-05	1944	0.9462365527300982	False
PLEKHF2	0.30852218840648676	0.3788425096181822	8.20600442538097e-06	6477	0.9462365527300982	False
NRBF2	0.3076885043851678	0.3791596839126488	3.10460987850172e-05	3530	0.9462365527300982	False
CHTF8	0.3072949194417394	0.37930945121852955	1.39867007556799e-05	5381	0.9462365527300982	False
NDST1	0.30656214066463294	0.3795883371183111	4.96746965420472e-06	7331	0.9462365527300982	False
TULP3	0.3055123292447673	0.3799879905926465	0.0001889818817578	812	0.9462365527300982	False
FAT1	0.3052495095260965	0.38008806370356196	3.45992742098618e-05	3284	0.9462365527300982	False
WNT10B	0.30468968308317174	0.38030125397070713	4.31372200492996e-06	7537	0.9462365527300982	False
ZMYM4	0.3045110296929596	0.3803692955064303	7.74256022645494e-05	1791	0.9462365527300982	False
COL6A1	0.3044459056942359	0.38039409940951563	1.66038850716761e-05	4989	0.9462365527300982	False
CRTAP	0.304045920322225	0.3805464533926046	1.72415700693125e-05	4919	0.9462365527300982	False
BATF3	0.3036898035770957	0.38068211345779845	4.96982540463841e-05	2505	0.9462365527300982	False
AKR1B10	0.30260384942353263	0.38109589026139346	7.85850167463811e-06	6565	0.9462365527300982	False
DCHS1	0.3024413478955125	0.38115781928256176	2.80122701924009e-06	8082	0.9462365527300982	False
PSME4	0.30157390211500723	0.3814884526613397	6.57843936015335e-05	2028	0.9462365527300982	False
CDKN1A	0.30129402339739114	0.38159514897454816	0.0003628297537799	380	0.9462365527300982	False
