Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Processing Of DNA Double-Strand Break Ends R-HSA-5693607,8/80,4.78651140041933e-11,7.56268801266254e-10,0,0,46.981087470449175,1116.3943952088623,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1,0,55
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,8/90,1.253452284953273e-10,1.856676197087036e-09,0,0,41.23092890503373,940.06309099757,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53,0,55
Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,11/271,1.629423976775082e-10,2.2716087205629083e-09,0,0,18.927884615384617,426.5895535056599,BARD1;ORC4;BLM;BRIP1;RAD50;MCM8;RBBP8;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,DNA Double-Strand Break Repair R-HSA-5693532,9/149,2.631432891555696e-10,3.464719973881666e-09,0,0,27.6777950310559,610.5257262940574,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,7/67,6.129885677463925e-10,7.646225818731318e-09,0,0,48.33159722222222,1025.2424558820817,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,8/114,8.463018141710061e-10,1.0028676497926425e-08,0,0,31.85708550782818,665.4991376259062,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1,0,55
Reactome_2022,Homology Directed Repair R-HSA-5693538,8/119,1.1934320119771008e-09,1.3468732706598711e-08,0,0,30.414414414414413,624.9077169601683,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1,0,55
Reactome_2022,Cell Cycle R-HSA-1640170,14/654,1.7551954372573731e-09,1.890824175590897e-08,0,0,10.299923780487806,207.65352530984717,BARD1;CDKN2D;BLM;MCM8;BRCA1;MLH1;TERF2;ORC4;BRIP1;RAD50;RBBP8;ATM;TP53BP1;TP53,0,55
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,11/354,2.729500701407463e-09,2.8125724618850816e-08,0,0,14.287172011661808,281.73084708007275,BARD1;BLM;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;BRCA1;MLH1;TP53,0,55
Reactome_2022,Meiosis R-HSA-1500620,7/88,4.2814572272604226e-09,4.227939011919668e-08,0,0,35.76337448559671,689.1234763101747,BLM;RAD50;RBBP8;ATM;BRCA1;MLH1;TERF2,0,55
Reactome_2022,Meiotic Recombination R-HSA-912446,6/56,9.537829824779652e-09,9.04186267389111e-08,0,0,48.72244897959184,899.8061808873504,BLM;RAD50;RBBP8;ATM;BRCA1;MLH1,0,55
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,8/157,1.0732945990893437e-08,9.783493076314401e-08,0,0,22.61430815364844,414.97137328237136,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53,0,55
Reactome_2022,Recruitment And ATM-mediated Phosphorylation Of Repair And Signal Proteins At DNA Double Strand Breaks R-HSA-5693565,6/60,1.4583535993311784e-08,1.2801103816351457e-07,0,0,45.10430839002267,813.8338428782223,BARD1;RAD50;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,DNA Double Strand Break Response R-HSA-5693606,6/61,1.6140519786470923e-08,1.3661797104977172e-07,0,0,44.28200371057514,794.5047423418596,BARD1;RAD50;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,6/62,1.7832354794866823e-08,1.4573338228908401e-07,0,0,43.48906705539358,775.9428651416222,FANCD2;PMS2;ATM;BRCA1;MLH1;TP53,0,55
Reactome_2022,Reproduction R-HSA-1474165,7/113,2.4711902918583993e-08,1.9522403305681359e-07,0,0,27.29422169811321,478.0850634839686,BLM;RAD50;RBBP8;ATM;BRCA1;MLH1;TERF2,0,55
