Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Epstein-Barr virus infection	1/202	4.282664e-01	4.836309e-01	0	0	1.819053e+00	1.542575e+00	TP53
KEGG_2021_Human	Viral carcinogenesis	1/203	4.298547e-01	4.836309e-01	0	0	1.809956e+00	1.528160e+00	TP53
KEGG_2021_Human	Proteoglycans in cancer	1/205	4.330184e-01	4.836309e-01	0	0	1.792030e+00	1.499884e+00	TP53
KEGG_2021_Human	Human immunodeficiency virus 1 infection	1/212	4.439559e-01	4.871533e-01	0	0	1.731964e+00	1.406407e+00	ATM
KEGG_2021_Human	Lipid and atherosclerosis	1/215	4.485798e-01	4.871533e-01	0	0	1.707425e+00	1.368789e+00	TP53
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	4.531659e-01	4.871533e-01	0	0	1.683564e+00	1.332536e+00	TMSB4X
KEGG_2021_Human	Chemical carcinogenesis	1/239	4.842365e-01	5.141277e-01	0	0	1.533380e+00	1.111979e+00	EIF4EBP1
KEGG_2021_Human	Parkinson disease	1/249	4.984163e-01	5.227292e-01	0	0	1.470803e+00	1.024149e+00	TP53
KEGG_2021_Human	MAPK signaling pathway	1/294	5.576304e-01	5.721713e-01	0	0	1.242068e+00	7.254410e-01	TP53
KEGG_2021_Human	Cytokine-cytokine receptor interaction	1/295	5.588650e-01	5.721713e-01	0	0	1.237780e+00	7.201991e-01	GDF11
KEGG_2021_Human	Huntington disease	1/306	5.722250e-01	5.789571e-01	0	0	1.192471e+00	6.656648e-01	TP53
KEGG_2021_Human	Amyotrophic lateral sclerosis	1/364	6.363625e-01	6.363625e-01	0	0	9.989797e-01	4.515257e-01	TP53
Reactome_2022	Diseases Of DNA Repair R-HSA-9675135	10/51	1.219614e-16	2.890485e-14	0	0	1.078808e+02	3.953056e+03	MSH6;BARD1;BLM;BRIP1;RAD50;RBBP8;PMS2;ATM;BRCA1;MLH1
Reactome_2022	DNA Repair R-HSA-73894	15/310	3.475978e-15	4.119034e-13	0	0	2.497881e+01	8.316172e+02	BARD1;BLM;BRCA1;MLH1;TERF2;MSH6;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;TP53BP1;TP53;RAD18
