Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
Reactome_2022,Disease R-HSA-1643685,18/1736,0.0010893993719867,0.0179533016503411,0,0,2.507383126033944,17.105690560252857,ZBP1;MAP4K2;EGFL7;PARP1;CDKN2A;PTEN;FRS3;SPRED2;SPRED1;CASP8;MRAS;PIK3CA;ESRP1;ERBB2;NF1;MDM2;AKT1;FGFR2,0,94
KEGG_2021_Human,Colorectal cancer,3/86,0.0077653156697834,0.0201066209306893,0,0,7.873560174764994,38.2504495432172,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Small cell lung cancer,3/92,0.0093384873666502,0.0237558011958645,0,0,7.340535868625756,34.30680912304263,PIK3CA;PTEN;AKT1,0,94
Reactome_2022,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",4/106,0.0015766050056279,0.0242520755227295,0,0,8.629193899782136,55.6797137772842,PIK3CA;ERBB2;AKT1;FGFR2,0,94
Reactome_2022,Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803,2/13,0.0016481993073699,0.0242520755227295,0,0,39.31818181818182,251.9537366921336,ERBB2;AKT1,0,94
Reactome_2022,FGFRL1 Modulation Of FGFR1 Signaling R-HSA-5658623,2/13,0.0016481993073699,0.0242520755227295,0,0,39.31818181818182,251.9537366921336,SPRED2;SPRED1,0,94
Reactome_2022,AKT Phosphorylates Targets In Cytosol R-HSA-198323,2/14,0.001917026013848,0.0272349902657034,0,0,36.039855072463766,225.50066121848295,MDM2;AKT1,0,94
KEGG_2021_Human,Choline metabolism in cancer,3/98,0.0110847852040572,0.027711963010143,0,0,6.874840948525159,30.95178388759313,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,3/100,0.0117059445280262,0.0282893659427301,0,0,6.732411917978928,29.943469004228515,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Progesterone-mediated oocyte maturation,3/100,0.0117059445280262,0.0282893659427301,0,0,6.732411917978928,29.943469004228515,PIK3CA;AKT1;KRAS,0,94
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,2/15,0.0022051992386726,0.0284553069607399,0,0,33.26588628762542,203.48534452549944,PIK3CA;ERBB2,0,94
