Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
KEGG_2021_Human,Inflammatory mediator regulation of TRP channels,2/98,0.0066249984591573,0.0149866976362918,0,0,18.006340579710145,90.33610260135455,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,2/100,0.0068890740028299,0.0149866976362918,0,0,17.637089618456077,87.79423275712823,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,2/100,0.0068890740028299,0.0149866976362918,0,0,17.637089618456077,87.79423275712823,CSF1R;IL20RA,3,25
KEGG_2021_Human,Progesterone-mediated oocyte maturation,2/100,0.0068890740028299,0.0149866976362918,0,0,17.637089618456077,87.79423275712823,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Amoebiasis,2/102,0.0071578890784244,0.0149866976362918,0,0,17.282608695652176,85.36813977232643,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Chagas disease,2/102,0.0071578890784244,0.0149866976362918,0,0,17.282608695652176,85.36813977232643,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Longevity regulating pathway,2/102,0.0071578890784244,0.0149866976362918,0,0,17.282608695652176,85.36813977232643,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,T cell receptor signaling pathway,2/104,0.0074314203155166,0.0149866976362918,0,0,16.942028985507246,83.05047461025787,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Toll-like receptor signaling pathway,2/104,0.0074314203155166,0.0149866976362918,0,0,16.942028985507246,83.05047461025787,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,C-type lectin receptor signaling pathway,2/104,0.0074314203155166,0.0149866976362918,0,0,16.942028985507246,83.05047461025787,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Insulin resistance,2/108,0.0079925381793877,0.0158540511427198,0,0,16.299425758818703,78.7139513198353,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,TNF signaling pathway,2/112,0.0085722422040996,0.0167296984950976,0,0,15.703557312252965,74.73677741296086,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Cholinergic synapse,2/113,0.008720050690488,0.0167480338658579,0,0,15.561300430865648,73.79371315940043,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Sphingolipid signaling pathway,2/119,0.0096308940378224,0.0179282796704079,0,0,14.758825715347454,68.52196932308168,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",2/119,0.0096308940378224,0.0179282796704079,0,0,14.758825715347454,68.52196932308168,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,AMPK signaling pathway,2/120,0.0097866734177048,0.0179422345991255,0,0,14.63301400147384,67.7030586339645,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Thyroid hormone signaling pathway,2/121,0.0099435801354979,0.0179578089014217,0,0,14.509316770186336,66.89996618040063,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Platelet activation,2/124,0.0104210360667379,0.0185433141775778,0,0,14.1503920171062,64.58138189886994,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Relaxin signaling pathway,2/129,0.011239079846013,0.0197091110343127,0,0,13.589866484080794,60.99619005827312,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,FoxO signaling pathway,2/131,0.0115740314163883,0.0197247577659575,0,0,13.377822716548703,59.651595927977866,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Natural killer cell mediated cytotoxicity,2/131,0.0115740314163883,0.0197247577659575,0,0,13.377822716548703,59.651595927977866,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Autophagy,2/137,0.0126051138276089,0.0206110645019011,0,0,12.77938808373591,55.892605043800906,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Estrogen signaling pathway,2/137,0.0126051138276089,0.0206110645019011,0,0,12.77938808373591,55.892605043800906,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Insulin signaling pathway,2/137,0.0126051138276089,0.0206110645019011,0,0,12.77938808373591,55.892605043800906,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Fluid shear stress and atherosclerosis,2/139,0.0129574768810712,0.0206296671396002,0,0,12.5915582354808,54.72394827734709,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Measles,2/139,0.0129574768810712,0.0206296671396002,0,0,12.5915582354808,54.72394827734709,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Apoptosis,2/142,0.0134940730405561,0.0209453674028898,0,0,12.319875776397517,53.04328335405592,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,2/143,0.0136750745853578,0.0209453674028898,0,0,12.231884057971014,52.5014539450397,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Spinocerebellar ataxia,2/143,0.0136750745853578,0.0209453674028898,0,0,12.231884057971014,52.5014539450397,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Cell adhesion molecules,2/148,0.0145959811115587,0.0220764214312326,0,0,11.810005955926146,49.92100210930623,CDH3;CDH1,3,25
KEGG_2021_Human,mTOR signaling pathway,2/154,0.0157356896277941,0.023505394065223,0,0,11.340389016018309,47.083298399153314,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Non-alcoholic fatty liver disease,2/155,0.015929275316928,0.023505394065223,0,0,11.265700483091788,46.63545595507459,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Cellular senescence,2/156,0.01612389224337,0.023505915198166,0,0,11.191981931112366,46.19438070413128,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Hepatitis C,2/157,0.0163195377462787,0.0235079055630919,0,0,11.11921458625526,45.75992958125708,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Hepatitis B,2/162,0.0173131010446175,0.0246430040132094,0,0,10.769021739130435,43.68229434032272,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Hippo signaling pathway,2/163,0.0175148623564959,0.0246430040132094,0,0,10.70159330272752,43.28479308666137,CDH1;CTNNA2,3,25
KEGG_2021_Human,Hepatocellular carcinoma,2/168,0.0185387675354075,0.0257838031239576,0,0,10.376636982713462,41.38089927813804,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Influenza A,2/172,0.0193758532378114,0.0266417982019907,0,0,10.130434782608695,39.95167592718283,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Axon guidance,2/182,0.0215372695413488,0.0292810069045304,0,0,9.56280193236715,36.70175054260199,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Chemokine signaling pathway,2/192,0.0237947850127502,0.0319462931304244,0,0,9.05491990846682,33.84990603571514,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,2/193,0.0240257245856911,0.0319462931304244,0,0,9.007056681083542,33.58398323829012,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.0261458788108372,0.0339650079605836,0,0,8.597826086956522,31.331025933337955,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Viral carcinogenesis,2/203,0.0263860392421062,0.0339650079605836,0,0,8.554618213281419,31.095354763087023,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.0263860392421062,0.0339650079605836,0,0,8.554618213281419,31.095354763087023,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Human immunodeficiency virus 1 infection,2/212,0.0285880735428577,0.036412177880903,0,0,8.184265010351966,29.093144187565965,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Lipid and atherosclerosis,2/215,0.0293381315708654,0.0369111285048983,0,0,8.067768932435191,28.470085084347566,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,cAMP signaling pathway,2/216,0.0295899129336788,0.0369111285048983,0,0,8.029662738724095,28.266996424428683,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0303505095089493,0.0374735882712538,0,0,7.917451412542577,27.67103326755969,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Coronavirus disease,2/232,0.0337360698424354,0.0412329742518655,0,0,7.465028355387524,25.30038222456889,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Chemical carcinogenesis,2/239,0.0356181370797864,0.0429973071747634,0,0,7.241973949733993,24.151261114403876,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Calcium signaling pathway,2/240,0.0358903142533149,0.0429973071747634,0,0,7.211180124223603,23.99367177963481,PDGFRA;ERBB2,3,25
KEGG_2021_Human,Shigellosis,2/246,0.0375405315899198,0.0445333757096107,0,0,7.031717747683535,23.080446855476527,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Endocytosis,2/252,0.039219800556344,0.0460737462846372,0,0,6.860869565217391,22.21943065918508,PDGFRA;PIP5K1C,3,25
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,9/496,4.736973047790898e-09,8.147593642200346e-07,0,0,22.50924024640657,431.45413463051193,PDGFRA;FER;PIK3CA;ERBB2;FLRT1;MATK;PIK3R3;ADAP1;TNS3,3,25
Reactome_2022,"PI5P, PP2A And IER3 Regulate PI3K/AKT Signaling R-HSA-6811558",5/106,1.856566697974941e-07,1.4657249179633054e-05,0,0,49.193069306930695,762.4614217741483,PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C,3,25
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,5/113,2.5564969499359976e-07,1.4657249179633054e-05,0,0,45.98842592592592,698.079366422319,PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C,3,25
Reactome_2022,Signal Transduction R-HSA-162582,13/2465,1.8039574082827124e-06,7.757016855615663e-05,0,0,7.7419453507340945,102.39131304571283,RGS17;PDGFRA;MATK;PIK3R3;ADAP1;FER;PIK3CA;ERBB2;FLRT1;PKP4;PIP5K1C;TEK;TNS3,3,25
Reactome_2022,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,4/78,2.543942991510681e-06,8.751163890796742e-05,0,0,51.22522522522522,659.8728666611207,PDGFRA;PIK3CA;ERBB2;PIK3R3,3,25
Reactome_2022,PI3K/AKT Signaling In Cancer R-HSA-2219528,4/105,8.333970666735847e-06,0.0002389071591130943,0,0,37.48043375766148,438.3400648844448,PDGFRA;PIK3CA;ERBB2;PIK3R3,3,25
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,5/268,1.7753384158009813e-05,0.0004123183050577268,0,0,18.73764258555133,204.9698431181924,PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C,3,25
Reactome_2022,Signaling By SCF-KIT R-HSA-1433557,3/42,1.917759558408032e-05,0.0004123183050577268,0,0,69.7062937062937,757.1335804059302,FER;PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By ERBB2 R-HSA-1227986,3/49,3.060063107376093e-05,0.0005399471651905768,0,0,59.07806324110672,614.0863332009578,PIK3CA;ERBB2;MATK,3,25
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,5/306,3.3528833458441e-05,0.0005399471651905768,0,0,16.340531561461795,168.35820898686848,PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C,3,25
Reactome_2022,Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,3/51,3.453150475056014e-05,0.0005399471651905768,0,0,56.61079545454545,581.598845967846,PIK3CA;PIK3R3;PIP5K1C,3,25
Reactome_2022,Signaling By PDGFRA Extracellular Domain Mutants R-HSA-9673770,2/11,8.193318465282479e-05,0.0011743756466904,0,0,192.9082125603865,1815.1903638966749,PDGFRA;PIK3CA,3,25
Reactome_2022,PI Metabolism R-HSA-1483255,3/82,0.00014314336988236997,0.0018938968938282,0,0,34.342922899884925,303.9920089085079,PIK3CA;PIK3R3;PIP5K1C,3,25
Reactome_2022,Signaling By ERBB2 ECD Mutants R-HSA-9665348,2/15,0.0001559398729733465,0.0019158327251011,0,0,133.5250836120401,1170.4862312462878,PIK3CA;ERBB2,3,25
Reactome_2022,PI3K Events In ERBB2 Signaling R-HSA-1963642,2/16,0.0001780806483866989,0.0020419914348341,0,0,123.98136645962732,1070.3651111926358,PIK3CA;ERBB2,3,25
Reactome_2022,Tie2 Signaling R-HSA-210993,2/17,0.00020167031602328324,0.0021679558972502,0,0,115.71014492753623,984.5633090082882,PIK3CA;TEK,3,25
Reactome_2022,Regulation Of Signaling By CBL R-HSA-912631,2/18,0.0002267055108576553,0.0022919712756965,0,0,108.47282608695652,910.288628412586,PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By KIT In Disease R-HSA-9669938,2/19,0.00025318287347810177,0.0022919712756965,0,0,102.08695652173913,845.4227696575183,PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By PDGFR In Disease R-HSA-9671555,2/19,0.00025318287347810177,0.0022919712756965,0,0,102.08695652173913,845.4227696575183,PDGFRA;PIK3CA,3,25
Reactome_2022,RAF/MAP Kinase Cascade R-HSA-5673001,4/271,0.0003332490221752955,0.0028659415907075,0,0,14.059568396647048,112.56962901136308,PDGFRA;PIK3CA;ERBB2;TEK,3,25
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,4/277,0.00036209944072773,0.0029196765814359,0,0,13.74638060352346,108.92070705879682,PDGFRA;PIK3CA;ERBB2;TEK,3,25
Reactome_2022,CD28 Dependent PI3K/Akt Signaling R-HSA-389357,2/23,0.0003734470046022705,0.0029196765814359,0,0,82.62525879917185,652.1392267357223,PIK3CA;PIK3R3,3,25
Reactome_2022,Signaling By ERBB2 KD Mutants R-HSA-9664565,2/24,0.0004070850063970531,0.0030442878739257,0,0,78.86561264822134,615.663500818195,PIK3CA;ERBB2,3,25
Reactome_2022,Signaling By ERBB2 In Cancer R-HSA-1227990,2/25,0.00044214513463833565,0.0031687067982414,0,0,75.43289224952741,582.6340323012631,PIK3CA;ERBB2,3,25
Reactome_2022,Interleukin Receptor SHC Signaling R-HSA-912526,2/27,0.0005165184917147076,0.0035536472229971,0,0,69.3913043478261,525.1811109155249,PIK3CA;PIK3R3,3,25
