Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Cell-Cell Communication R-HSA-1500931	1/120	4.327874e-01	4.912077e-01	0	0	1.787928e+00	1.497405e+00	PIK3CA
Reactome_2022	Rab Regulation Of Trafficking R-HSA-9007101	1/122	4.381388e-01	4.945567e-01	0	0	1.758198e+00	1.450899e+00	AKT1
Reactome_2022	Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849	1/122	4.381388e-01	4.945567e-01	0	0	1.758198e+00	1.450899e+00	PRSS58
Reactome_2022	Cellular Responses To Stress R-HSA-2262752	4/722	4.419600e-01	4.975068e-01	0	0	1.187744e+00	9.698355e-01	FLCN;CDKN2A;MDM2;AKT1
Reactome_2022	Cardiac Conduction R-HSA-5576891	1/126	4.486922e-01	5.037090e-01	0	0	1.701591e+00	1.363686e+00	FGF12
Reactome_2022	Metabolism Of Lipids R-HSA-556833	4/732	4.524425e-01	5.065389e-01	0	0	1.170818e+00	9.285694e-01	EGFL7;PIK3CA;PTEN;TNFAIP8L2
Reactome_2022	G1/S Transition R-HSA-69206	1/129	4.564784e-01	5.084515e-01	0	0	1.661458e+00	1.302939e+00	AKT1
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	4/736	4.566191e-01	5.084515e-01	0	0	1.164177e+00	9.126054e-01	FLCN;CDKN2A;MDM2;AKT1
Reactome_2022	Cell Surface Interactions At Vascular Wall R-HSA-202733	1/134	4.692143e-01	5.210681e-01	0	0	1.598593e+00	1.209649e+00	PIK3CA
Reactome_2022	Influenza Viral RNA Transcription And Replication R-HSA-168273	1/137	4.767136e-01	5.279731e-01	0	0	1.563093e+00	1.158001e+00	PARP1
Reactome_2022	C-type Lectin Receptors (CLRs) R-HSA-5621481	1/141	4.865498e-01	5.374223e-01	0	0	1.518126e+00	1.093682e+00	CASP8
Reactome_2022	Diseases Of Glycosylation R-HSA-3781865	1/143	4.913992e-01	5.413274e-01	0	0	1.496592e+00	1.063327e+00	EGFL7
Reactome_2022	RHOA GTPase Cycle R-HSA-8980692	1/147	5.009622e-01	5.503905e-01	0	0	1.455295e+00	1.005936e+00	ARHGEF18
Reactome_2022	DNA Double-Strand Break Repair R-HSA-5693532	1/149	5.056768e-01	5.540927e-01	0	0	1.435484e+00	9.787954e-01	PARP1
Reactome_2022	Cellular Response To Starvation R-HSA-9711097	1/153	5.149743e-01	5.627835e-01	0	0	1.397425e+00	9.273849e-01	FLCN
Reactome_2022	SARS-CoV Infections R-HSA-9679506	2/369	5.199452e-01	5.667128e-01	0	0	1.157387e+00	7.569676e-01	ZBP1;AKT1
Reactome_2022	Influenza Infection R-HSA-168255	1/157	5.240986e-01	5.697325e-01	0	0	1.361318e+00	8.795140e-01	PARP1
Reactome_2022	Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169	2/378	5.329335e-01	5.764249e-01	0	0	1.129163e+00	7.106483e-01	WSB1;RNF34
Reactome_2022	S Phase R-HSA-69242	1/161	5.330531e-01	5.764249e-01	0	0	1.327016e+00	8.348712e-01	AKT1
Reactome_2022	Metabolism Of Proteins R-HSA-392499	9/1890	5.349707e-01	5.769841e-01	0	0	1.014636e+00	6.346985e-01	CASP8AP2;EGFL7;WSB1;PARP1;CDKN2A;PTEN;MDM2;PIGM;PIGX
Reactome_2022	GPCR Downstream Signaling R-HSA-388396	3/619	5.599699e-01	6.023697e-01	0	0	1.032360e+00	5.986372e-01	PIK3CA;AKT1;ARHGEF18
Reactome_2022	Disorders Of Transmembrane Transporters R-HSA-5619115	1/176	5.651725e-01	6.063830e-01	0	0	1.212350e+00	6.917965e-01	MAP4K2
Reactome_2022	Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314	1/182	5.773992e-01	6.178922e-01	0	0	1.171805e+00	6.435805e-01	MDM2
Reactome_2022	Cell Cycle R-HSA-1640170	3/654	5.975856e-01	6.378375e-01	0	0	9.750848e-01	5.020299e-01	CDKN2A;MDM2;AKT1
Reactome_2022	SARS-CoV-2-host Interactions R-HSA-9705683	1/196	6.046213e-01	6.420206e-01	0	0	1.086904e+00	5.468788e-01	AKT1
Reactome_2022	Muscle Contraction R-HSA-397014	1/196	6.046213e-01	6.420206e-01	0	0	1.086904e+00	5.468788e-01	FGF12
Reactome_2022	TCF Dependent Signaling In Response To WNT R-HSA-201681	1/198	6.083659e-01	6.443361e-01	0	0	1.075760e+00	5.346300e-01	AKT1
Reactome_2022	Signaling By NOTCH R-HSA-157118	1/203	6.175743e-01	6.524119e-01	0	0	1.048866e+00	5.055072e-01	AKT1
Reactome_2022	Keratinization R-HSA-6805567	1/208	6.265686e-01	6.602206e-01	0	0	1.023272e+00	4.783764e-01	PI3
Reactome_2022	Signaling By GPCR R-HSA-372790	3/689	6.330908e-01	6.642457e-01	0	0	9.236536e-01	4.222403e-01	PIK3CA;AKT1;ARHGEF18
Reactome_2022	G Alpha (Q) Signaling Events R-HSA-416476	1/212	6.336130e-01	6.642457e-01	0	0	1.003669e+00	4.579913e-01	PIK3CA
Reactome_2022	Neddylation R-HSA-8951664	1/237	6.747557e-01	7.055822e-01	0	0	8.962092e-01	3.525727e-01	WSB1
Reactome_2022	Transmission Across Chemical Synapses R-HSA-112315	1/246	6.884193e-01	7.159687e-01	0	0	8.628923e-01	3.221671e-01	MDM2
Reactome_2022	SLC-mediated Transmembrane Transport R-HSA-425407	1/247	6.899019e-01	7.159687e-01	0	0	8.593409e-01	3.189923e-01	SLC4A7
Reactome_2022	Diseases Of Metabolism R-HSA-5668914	1/247	6.899019e-01	7.159687e-01	0	0	8.593409e-01	3.189923e-01	EGFL7
Reactome_2022	Cell Cycle, Mitotic R-HSA-69278	2/523	7.087685e-01	7.337001e-01	0	0	8.088542e-01	2.784289e-01	CDKN2A;AKT1
Reactome_2022	RHO GTPase Effectors R-HSA-195258	1/269	7.208106e-01	7.442957e-01	0	0	7.879153e-01	2.579468e-01	NF2
Reactome_2022	Asparagine N-linked Glycosylation R-HSA-446203	1/282	7.376208e-01	7.591399e-01	0	0	7.509662e-01	2.285381e-01	EGFL7
Reactome_2022	SARS-CoV-2 Infection R-HSA-9694516	1/283	7.388716e-01	7.591399e-01	0	0	7.482651e-01	2.264483e-01	AKT1
Reactome_2022	Metabolism Of Carbohydrates R-HSA-71387	1/285	7.413556e-01	7.597973e-01	0	0	7.429199e-01	2.223373e-01	MAP4K2
