gene	cluster	rwr_score
TP53I3	2	1.41366624126066e-05
IKBIP	2	1.33017476581791e-05
PPP1R13B	2	1.27005364254394e-05
RFFL	2	1.26847428131344e-05
TP53INP1	2	1.24707287254816e-05
ARID3A	2	1.23710692503013e-05
PCBP4	2	1.22503886039664e-05
TRIAP1	2	1.21927430060295e-05
HIPK1	2	1.21924747259454e-05
POU4F1	2	1.21114263618825e-05
USP24	2	1.21075009816527e-05
RGCC	2	1.20700814896156e-05
ZNF385A	2	1.19838993669948e-05
POU4F2	2	1.19376556222632e-05
HERC1	2	1.19314390849254e-05
TP53RK	2	1.18544155012175e-05
LMO3	2	1.18057244640526e-05
HIPK4	2	1.17895476255971e-05
PRIMA1	2	1.16939430526175e-05
DRAM1	2	1.1637307429095e-05
SETD9	2	1.1637307429095e-05
CCDC106	2	1.1637307429095e-05
ZMAT3	2	1.1637307429095e-05
USP42	2	1.1637307429095e-05
PRELID3A	2	1.03961266707265e-06
ARID3C	2	9.27830194889393e-07
PRELID3B	2	9.14455730199285e-07
ATM	3	1.0
MLH1	3	1.0
LIG4	3	0.0008522345164362
XRCC1	3	0.0007886074931973
CDK4	3	0.0005737331740739
SPO11	3	0.0004151407442057
MSH4	3	0.0004088576301036
MSH5	3	0.0004051050459094
MLH3	3	0.0004024850536145
DMC1	3	0.0003844669503644
NTHL1	3	0.0001606847435277
RASSF1	3	0.0001569275634581
REEP5	3	0.0001263202916549
CBY2	3	0.0001204242911109
ATMIN	3	0.0001199275939895
MBD4	3	0.0001170731902817
NABP2	3	4.86802294119451e-05
CBY3	3	1.80636435438763e-05
TEX11	3	1.58667662870208e-05
SLC39A1	3	1.44223855617483e-05
CNTD1	3	1.16673865905765e-05
C1orf146	3	1.06729168735964e-05
SHOC1	3	7.8207705570786e-06
REEP6	3	2.22918162338776e-06
ZNF740	3	2.22918162338776e-06
