nodeA	nodeB	weight	sources
FANCM	RMI1	1.0	BioGRID
FANCM	TELO2	1.0	BioGRID
FANCM	TOP3A	1.0	BioGRID
FGF1	FGFR2	1.0	BioGRID
FGF1	SDC4	0.53	IntAct
FGF2	FGFR2	1.0	BioGRID
FGF2	PTX3	1.0	BioGRID
FGF2	SDC4	1.0	BioGRID
FGF7	FGFR2	1.0	BioGRID+IntAct
FGFR2	IFFO2	0.53	IntAct
FGFR2	IP6K1	0.53	IntAct
FGFR2	SNX22	0.53	IntAct
FGFR2	TIMP1	0.53	IntAct
FGFR2	UBXN4	0.53	IntAct
FIGNL1	RAD51	1.0	BioGRID
FIGNL1	SPIDR	1.0	BioGRID
FIGNL1	TNXB	0.4	IntAct
FLRT1	PIK3CA	0.53	IntAct
FLRT1	PIK3R3	0.53	IntAct
FRMD6	MLH1	1.0	BioGRID
GDF11	LIPH	0.53	IntAct
GFOD1	GFOD2	0.64	IntAct
HIPK3	TP53	1.0	BioGRID+IntAct
HK3	NPC2	0.53	IntAct
HSP90AB3P	STK11	0.53	IntAct
IHO1	RAD51D	0.72	IntAct
IKZF3	RAD51D	0.85	IntAct
IL20RA	PIK3CA	0.53	IntAct
IP6K1	UBXN4	1.0	BioGRID
IVD	STK11	1.0	BioGRID+IntAct
KDM4A	STK11	0.64	IntAct
KDM4D	TP53	1.0	BioGRID
KIFC3	RAD51D	0.56	IntAct
KLHL10	RAD51C	0.53	IntAct
KRT15	RAD51D	0.78	IntAct
KRTAP12-3	LNX1	0.56	IntAct
LNX1	RAD51D	0.72	IntAct
LNX1	TP53	1.0	BioGRID
LYZ	TP53	1.0	BioGRID
MAGEA8	MLH1	1.0	BioGRID+IntAct
MANF	RAD51AP1	1.0	BioGRID
MCM8	MLH1	1.0	BioGRID
MLH1	MSH6	1.0	BioGRID
MLH1	MYOG	1.0	BioGRID+IntAct
MLH1	NBN	1.0	BioGRID
MLH1	ORC4	0.44	IntAct
MLH1	PMS1	1.0	BioGRID
MLH1	PMS2	1.0	BioGRID+IntAct
MLH1	RAD50	1.0	BioGRID
MLH1	TASOR2	0.72	IntAct
MLH1	TMSB4X	1.0	BioGRID+IntAct
MMS19	STK11	1.0	BioGRID
MND1	PSMC3IP	1.0	BioGRID+IntAct
MND1	RAD51	1.0	BioGRID
MORF4L1	MORF4L2	1.0	BioGRID
MORF4L1	PALB2	1.0	BioGRID+IntAct
MORF4L1	RAD51	1.0	BioGRID
MORF4L2	PALB2	1.0	BioGRID+IntAct
MSH6	NBN	1.0	BioGRID
MSH6	PMS2	1.0	BioGRID
MSH6	RAD50	1.0	BioGRID
MSH6	TP53	1.0	BioGRID
NABP2	NBN	1.0	BioGRID
NABP2	RAD50	1.0	BioGRID
NABP2	TP53	1.0	BioGRID
NAT2	RAD51	1.0	BioGRID
NAT2	STARD7	0.53	IntAct
NBN	RAD18	1.0	BioGRID
NBN	RAD50	1.0	BioGRID
NBN	RBBP8	1.0	BioGRID
NBN	TERF2	1.0	BioGRID
NBN	TP53	1.0	BioGRID
NBN	TP53BP1	1.0	BioGRID
NDUFAF5	NDUFAF8	0.75	IntAct
NDUFAF5	XRCC2	0.53	IntAct
NLRC3	PYCARD	0.56	IntAct
PALB2	PDS5B	1.0	BioGRID
PALB2	RAD51	1.0	BioGRID
PALB2	RAD51C	1.0	BioGRID
PALB2	RNF168	1.0	BioGRID
PALB2	USP22	1.0	BioGRID
PDGFRA	PIK3CA	1.0	BioGRID
PDS5B	RAD51	1.0	BioGRID
PIK3CA	PIK3R3	1.0	BioGRID+IntAct
PIK3CA	RASD2	1.0	BioGRID
PIK3CA	ZDHHC1	0.53	IntAct
PTEN	STK11	1.0	BioGRID
PTEN	TP53	1.0	BioGRID
PTEN	TP53BP1	1.0	BioGRID
PTPN9	RAD51C	0.53	IntAct
RAD18	RAD51	1.0	BioGRID
RAD18	TP53	1.0	BioGRID
RAD18	TP53BP1	1.0	BioGRID
